ticker,n_rows,accuracy
WNLB,359.0,0.5905292479108635
BHDC,360.0,0.5861111111111111
UNLB,360.0,0.5861111111111111
NMBMF,360.0,0.5805555555555556
HEIP,338.0,0.5798816568047337
NICSF,358.0,0.5754189944134078
EHPL,359.0,0.5738161559888579
NIBSF2,357.0,0.5714285714285714
UPCL,360.0,0.5694444444444444
SMB,360.0,0.5666666666666667
PPL,360.0,0.5666666666666667
FMDBL,360.0,0.5666666666666667
MFIL,360.0,0.5666666666666667
SINDU,360.0,0.5638888888888889
PFL,346.0,0.5606936416184971
RMF1,359.0,0.5598885793871866
DORDI,359.0,0.5598885793871866
SPC,360.0,0.5583333333333333
CORBL,360.0,0.5555555555555556
SPL,360.0,0.5555555555555556
KKHC,359.0,0.5543175487465181
BNHC,359.0,0.5543175487465181
LUK,354.0,0.5536723163841808
KDBY,358.0,0.553072625698324
PRIN,360.0,0.5527777777777778
HIDCLP,360.0,0.5527777777777778
ALBSL,359.0,0.5515320334261838
MLBBL,360.0,0.55
MHCL,359.0,0.5487465181058496
GMFBS,359.0,0.5487465181058496
MLBS,359.0,0.5487465181058496
NICBF,316.0,0.5474683544303798
GHL,360.0,0.5472222222222223
HURJA,360.0,0.5472222222222223
NGPL,360.0,0.5472222222222223
MPFL,360.0,0.5472222222222223
SHPC,360.0,0.5472222222222223
NIMB,360.0,0.5472222222222223
NIFRA,360.0,0.5472222222222223
RBCLPO,326.0,0.5460122699386503
ILBS,359.0,0.5459610027855153
SMFBS,360.0,0.5444444444444444
FOWAD,360.0,0.5444444444444444
MBJC,360.0,0.5444444444444444
NADEP,360.0,0.5444444444444444
PCBL,360.0,0.5444444444444444
MDB,360.0,0.5444444444444444
MHL,360.0,0.5444444444444444
GIBF1,359.0,0.5431754874651811
CMF2,319.0,0.542319749216301
NYADI,360.0,0.5416666666666666
MKHC,360.0,0.5416666666666666
NLG,360.0,0.5416666666666666
PRVU,360.0,0.5416666666666666
CIT,360.0,0.5416666666666666
SHIVM,360.0,0.5416666666666666
NABBC,355.0,0.5408450704225352
CHL,359.0,0.5403899721448467
SWMF,359.0,0.5403899721448467
SEF,356.0,0.5393258426966292
KEF,358.0,0.5391061452513967
NSIF2,358.0,0.5391061452513967
JBBL,360.0,0.5388888888888889
GFCL,360.0,0.5388888888888889
GRDBL,360.0,0.5388888888888889
SPHL,360.0,0.5388888888888889
SAPDBL,360.0,0.5388888888888889
KMCDB,360.0,0.5388888888888889
SSHL,359.0,0.5376044568245125
MLBSL,359.0,0.5376044568245125
SHINE,360.0,0.5361111111111111
NABIL,360.0,0.5361111111111111
PROFL,360.0,0.5361111111111111
NICLBSL,360.0,0.5361111111111111
SMH,358.0,0.5335195530726257
JFL,360.0,0.5333333333333333
KPCL,360.0,0.5333333333333333
KBL,360.0,0.5333333333333333
MEN,360.0,0.5333333333333333
HBL,360.0,0.5333333333333333
RURU,360.0,0.5333333333333333
SMJC,360.0,0.5333333333333333
BHL,360.0,0.5333333333333333
BARUN,359.0,0.532033426183844
KDL,360.0,0.5305555555555556
UPPER,360.0,0.5305555555555556
DDBL,360.0,0.5305555555555556
SIGS2,336.0,0.5297619047619048
MERO,359.0,0.5292479108635098
SMHL,359.0,0.5292479108635098
BBC,360.0,0.5277777777777778
RLFL,360.0,0.5277777777777778
UNHPL,360.0,0.5277777777777778
